id;quantity;total_price;product_id;cart_id
51102f93-caa6-4e55-b6e2-eb4115cda5af;960;47588;3090a85f-db9c-465e-bc55-cb21cecea3b7;895ed8f3-aca8-4c1e-a4df-d147349f14fb
0134ceae-21a4-48f1-97ce-6d65b8608f36;23738;15762;b9615f87-edd4-48a4-b309-b8258724b002;9a573bbb-e09f-4ab6-b18b-80ac30070457
23fbed0f-9a10-43cd-816b-3b8535743995;53550;75346;9e3c0ded-89f3-4108-a648-47a72ad2f232;1f10401f-5d95-4107-a0c2-c4a47110612b
b1cb620e-eefc-49b5-a1f2-aa6c508e52f0;35523;95175;9049cda2-c5fc-49c7-ac4c-3d215808cf17;f64e4996-7e2f-496a-bd23-b53d6ce39d53
9cd8d235-0bc2-4303-96e7-f89746cc0594;32225;31482;014e411f-01a2-4468-bc20-e58e8f102aa9;b00abe40-ad06-4b16-8299-63cc5efd57e5
d51b5699-ae16-4c9b-bd8b-9f0e25b9a52e;64660;33684;14e5cd16-ef04-48eb-87c9-917f682e42af;e3e409fd-9629-45e5-b1cb-a82b238c877f
35eb7f12-e660-472c-97f5-13e4e617f082;55256;22273;d1774b3f-afc6-4895-a23d-52cdca3542e4;45a2540d-acc9-4914-8c53-31cc4c16e572
79513abf-c648-4194-9ba8-c2919e8a29f6;36808;65011;f44d92c6-5985-4652-aa23-798b99aff471;9ce1cbbc-8f08-4334-95a3-566816af633f
95bdc9dd-179e-4838-8c09-71a522634246;54627;72638;c18c2f40-86ec-41e4-878f-edfa0335fa46;737f64eb-ddaa-4ea3-aa5d-06a1396e5e3b
a4d18e3e-91e0-4ae8-92d2-183655dfb34b;51178;27947;58de238c-6967-44a9-89e4-14a49c120e4d;04ae435e-e77f-40d6-a4b9-0f894f09aa7d
